time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
21:12:01:401,"-0,0381","0,0811","0,9528","0,00000000","0,00000000","0,00000000",
21:12:01:402,"-0,0352","0,0811","0,9528","0,00000000","0,00000000","0,00000000",
21:12:01:478,"-0,0332","0,0811","0,9528","0,00000000","0,00000000","0,00000000",
21:12:01:638,"-0,0332","0,0811","0,9518","0,00000000","0,00000000","0,00000000",
21:12:02:115,"-0,0322","0,0811","0,9518","0,00000000","0,00000000","0,00000000",
21:12:02:274,"-0,0322","0,0792","0,9518","0,00000000","0,00000000","0,00000000",
21:12:02:597,"-0,0313","0,0792","0,9518","0,00000000","0,00000000","0,00000000",
21:12:02:758,"-0,0313","0,0792","0,9528","0,00000000","0,00000000","0,00000000",
21:12:02:916,"-0,0313","0,0811","0,9528","0,00000000","0,00000000","0,00000000",
21:12:03:069,"-0,0313","0,0792","0,9528","0,00000000","0,00000000","0,00000000",
21:12:03:230,"-0,0313","0,0801","0,9528","0,00000000","0,00000000","0,00000000",
21:12:03:390,"-0,0313","0,0782","0,9528","0,00000000","0,00000000","0,00000000",
21:12:03:546,"-0,0313","0,0801","0,9528","0,00000000","0,00000000","0,00000000",
21:12:03:708,"-0,0322","0,0792","0,9528","0,00000000","0,00000000","0,00000000",
21:12:03:867,"-0,0322","0,0792","0,9518","0,00000000","0,00000000","0,00000000",
21:12:04:026,"-0,0322","0,0792","0,9538","0,00000000","0,00000000","0,00000000",
21:12:04:184,"-0,0322","0,0782","0,9547","0,00000000","0,00000000","0,00000000",
21:12:04:344,"-0,0322","0,0801","0,9547","0,00000000","0,00000000","0,00000000",
21:12:04:503,"-0,0313","0,0782","0,9528","0,00000000","0,00000000","0,00000000",
21:12:04:661,"-0,0322","0,0801","0,9538","0,00000000","0,00000000","0,00000000",
21:12:04:977,"-0,0313","0,0782","0,9538","0,00000000","0,00000000","0,00000000",
21:12:05:136,"-0,0332","0,0840","0,9538","0,00000000","0,00000000","0,00000000",
21:12:05:296,"-0,0322","0,0743","0,9547","0,00000000","0,00000000","0,00000000",
21:12:05:455,"-0,0322","0,0811","0,9538","-23,45811733","-46,61392179","0,50000000",
21:12:05:614,"-0,0313","0,0782","0,9538","-23,45811733","-46,61392179","0,50000000",
21:12:05:774,"-0,0313","0,0801","0,9538","-23,45811733","-46,61392179","0,50000000",
